PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,FP
Anfernee Simons,POR,POR @ UTA,12/03/2022,W,41,45,15,25,60,7,12,58.3,8,8,100,0,2,2,4,1,2,7,3,5,55.4
Anthony Davis,LAL,LAL @ MIL,12/02/2022,W,40,44,18,27,66.7,2,3,66.7,6,7,85.7,2,8,10,4,0,3,0,2,5,71
Giannis Antetokounmpo,MIL,MIL vs. LAL,12/02/2022,L,35,40,16,23,69.6,0,3,0,8,11,72.7,3,4,7,5,0,1,4,2,2,54.9
Devin Booker,PHX,PHX vs. HOU,12/02/2022,L,34,41,15,25,60,4,6,66.7,7,10,70,0,4,4,8,0,0,3,3,8,54.8
Devin Booker,PHX,PHX vs. CHI,11/30/2022,W,31,51,20,25,80,6,7,85.7,5,6,83.3,0,4,4,6,1,0,2,3,23,65.8
Jayson Tatum,BOS,BOS vs. MIA,11/30/2022,W,39,49,15,25,60,8,12,66.7,11,12,91.7,1,10,11,3,2,0,1,3,29,71.7
Luka Doncic,DAL,DAL vs. GSW,11/29/2022,W,39,41,14,27,51.9,4,9,44.4,9,15,60,2,10,12,12,4,1,5,3,22,83.4
Kristaps Porzingis,WAS,WAS vs. MIN,11/28/2022,W,31,41,12,18,66.7,6,10,60,11,11,100,2,2,4,3,2,3,1,3,13,64.3
Devin Booker,PHX,PHX @ SAC,11/28/2022,W,41,44,17,28,60.7,1,6,16.7,9,9,100,0,8,8,4,6,0,6,4,14,71.6
Kevin Durant,BKN,BKN vs. ORL,11/28/2022,W,39,45,19,24,79.2,3,5,60,4,4,100,1,6,7,5,2,2,6,4,11,66.9
Trae Young,ATL,ATL @ HOU,11/25/2022,L,38,44,13,28,46.4,4,10,40,14,16,87.5,0,0,0,5,1,0,4,4,-6,50.5
Jerami Grant,POR,POR @ NYK,11/25/2022,W,40,44,10,20,50,3,7,42.9,21,28,75,0,1,1,2,0,1,2,4,-1,49.2
Luka Doncic,DAL,DAL @ BOS,11/23/2022,L,40,42,17,28,60.7,3,8,37.5,5,9,55.6,1,7,8,9,0,0,5,4,-13,60.1
Klay Thompson,GSW,GSW @ HOU,11/20/2022,W,36,41,14,23,60.9,10,13,76.9,3,4,75,2,2,4,3,2,0,2,1,14,54.3
Darius Garland,CLE,CLE vs. CHA,11/18/2022,W,48,41,16,26,61.5,3,8,37.5,6,8,75,0,1,1,6,5,1,8,5,23,61.2
Devin Booker,PHX,PHX @ UTA,11/18/2022,L,41,49,16,31,51.6,2,9,22.2,15,15,100,1,7,8,10,1,0,1,3,-4,75.6
DeMar DeRozan,CHI,CHI vs. ORL,11/18/2022,L,44,41,16,30,53.3,1,2,50,8,9,88.9,1,3,4,2,0,0,2,2,13,46.8
Shai Gilgeous-Alexander,OKC,OKC @ WAS,11/16/2022,W,35,42,14,22,63.6,2,3,66.7,12,17,70.6,2,4,6,7,0,1,2,1,9,60.7
Stephen Curry,GSW,GSW @ PHX,11/16/2022,L,36,50,17,28,60.7,7,11,63.6,9,9,100,0,9,9,6,0,1,3,2,-14,69.8
Joel Embiid,PHI,PHI vs. UTA,11/13/2022,W,37,59,19,28,67.9,1,5,20,20,24,83.3,1,10,11,8,1,7,5,3,25,103.2
Darius Garland,CLE,CLE vs. MIN,11/13/2022,L,40,51,16,31,51.6,10,15,66.7,9,13,69.2,1,1,2,6,2,0,2,3,6,66.4
Jayson Tatum,BOS,BOS @ DET,11/12/2022,W,41,43,14,28,50,7,14,50,8,10,80,2,8,10,3,1,1,3,2,7,62.5
Luka Doncic,DAL,DAL vs. POR,11/12/2022,W,38,42,13,22,59.1,1,5,20,15,18,83.3,3,10,13,10,2,1,2,3,6,79.6
Joel Embiid,PHI,PHI vs. ATL,11/12/2022,W,40,42,14,25,56,1,6,16.7,13,16,81.3,0,10,10,6,2,2,4,5,22,71
Stephen Curry,GSW,GSW vs. CLE,11/11/2022,W,34,40,15,23,65.2,6,11,54.5,4,6,66.7,0,4,4,5,1,0,2,4,7,53.3
Stephen Curry,GSW,GSW vs. SAC,11/07/2022,W,38,47,17,24,70.8,7,12,58.3,6,7,85.7,0,8,8,8,0,0,0,2,20,68.6
DeMar DeRozan,CHI,CHI @ BOS,11/04/2022,L,36,46,13,23,56.5,0,3,0,20,22,90.9,0,3,3,5,2,1,2,3,10,64.1
Luka Doncic,DAL,DAL vs. ORL,10/30/2022,W,37,44,17,26,65.4,2,9,22.2,8,14,57.1,0,3,3,5,1,0,0,3,13,58.1
Trae Young,ATL,ATL @ MIL,10/29/2022,L,36,42,15,32,46.9,5,10,50,7,7,100,1,5,6,5,0,0,2,1,-10,54.7
Donovan Mitchell,CLE,CLE @ BOS,10/28/2022,W,46,41,15,25,60,5,9,55.6,6,6,100,0,4,4,3,1,0,7,4,18,46.3
Caris LeVert,CLE,CLE @ BOS,10/28/2022,W,43,41,12,21,57.1,6,8,75,11,12,91.7,2,2,4,7,3,0,2,4,21,63.3
Tyrese Maxey,PHI,PHI @ TOR,10/28/2022,W,40,44,15,20,75,9,12,75,5,6,83.3,0,8,8,4,1,0,2,3,29,60.6
Luka Doncic,DAL,DAL @ BKN,10/27/2022,W,41,41,14,28,50,2,6,33.3,11,13,84.6,1,10,11,14,3,0,5,2,20,79.2
Giannis Antetokounmpo,MIL,MIL vs. BKN,10/26/2022,W,38,43,16,25,64,1,4,25,10,14,71.4,2,12,14,5,1,3,7,4,5,72.3
Damian Lillard,POR,POR @ LAL,10/23/2022,W,34,41,15,25,60,6,13,46.2,5,7,71.4,1,4,5,2,0,1,6,3,2,47
Joel Embiid,PHI,PHI vs. SAS,10/22/2022,L,36,40,14,25,56,0,2,0,12,15,80,3,10,13,3,1,2,2,2,6,67.1
Paul George,LAC,LAC @ SAC,10/22/2022,W,39,40,16,31,51.6,3,10,30,5,5,100,2,4,6,6,2,1,4,2,-4,61.2
Giannis Antetokounmpo,MIL,MIL vs. HOU,10/22/2022,W,28,44,17,21,81,2,3,66.7,8,13,61.5,2,10,12,3,0,0,4,2,23,58.9
Jayson Tatum,BOS,BOS @ ORL,10/22/2022,W,38,40,14,21,66.7,4,10,40,8,9,88.9,0,8,8,1,1,2,1,2,6,59.1
Ja Morant,MEM,MEM @ HOU,10/21/2022,W,31,49,17,26,65.4,5,6,83.3,10,13,76.9,3,1,4,8,1,2,3,2,23,71.8
Damian Lillard,POR,POR vs. PHX,10/21/2022,W,43,41,12,25,48,5,12,41.7,12,12,100,1,6,7,3,0,1,4,2,-2,52.9