Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,22.1,TOR,Big,452,56,17.2%,4,84.3,48,9.0%,38,0.52,76,10.1%
Steven Adams,28.3,MEM,Big,485,37,14.4%,28,108.3,80,14.4%,94,1.00,17,18.0%
Bam Adebayo,24.3,MIA,Big,555,93,24.5%,47,115.1,85,15.8%,60,0.64,37,14.8%
LaMarcus Aldridge,36.3,BKN,Big,417,78,19.9%,75,126.4,21,6.0%,9,0.30,93,7.0%
Nickeil Alexander-Walker,23.2,NOP,Combo,628,73,23.4%,20,94.1,29,13.8%,20,0.59,90,8.5%
Grayson Allen,26.1,MIL,Wing,595,44,15.5%,90,126.1,27,6.9%,20,0.44,93,6.1%
Jarrett Allen,23.5,CLE,Big,558,43,15.3%,94,139.2,47,8.9%,44,0.58,25,16.8%
Kyle Anderson,28.1,MEM,Forward,433,63,17.8%,33,101.3,84,16.7%,95,0.94,59,10.0%
Giannis Antetokounmpo,26.9,MIL,Big,643,100,36.0%,59,118.7,98,30.7%,84,0.85,71,11.4%
Thanasis Antetokounmpo,29.3,MIL,Big,189,30,13.9%,14,100.0,51,9.4%,64,0.68,69,11.7%
Carmelo Anthony,37.4,LAL,Big,635,58,17.3%,61,118.8,15,4.4%,6,0.25,94,6.8%
Cole Anthony,21.5,ORL,Point,537,66,27.8%,66,111.2,59,28.0%,34,1.00,49,13.3%
OG Anunoby,24.3,TOR,Forward,557,86,22.9%,48,105.7,66,11.5%,31,0.50,80,8.6%
D.J. Augustin,34.0,HOU,Point,207,15,16.5%,93,123.5,27,22.9%,80,1.38,0,24.5%
Deni Avdija,20.8,WAS,Forward,415,19,12.4%,53,106.4,28,7.1%,45,0.57,58,10.3%
Deandre Ayton,23.3,PHX,Big,413,50,16.9%,83,130.1,22,6.1%,16,0.36,40,14.7%
Marvin Bagley,22.6,SAC,Big,126,23,13.5%,43,113.9,29,6.8%,35,0.51,59,12.3%
LaMelo Ball,20.2,CHA,Point,722,80,30.2%,46,105.7,83,34.7%,63,1.15,59,12.7%
Lonzo Ball,24.0,CHI,Point,721,20,17.9%,63,110.6,7,18.2%,39,1.02,29,16.4%
Mohamed Bamba,23.5,ORL,Big,581,48,16.0%,21,105.1,56,10.0%,54,0.62,50,13.8%
Desmond Bane,23.4,MEM,Wing,572,70,19.6%,80,119.5,59,10.2%,44,0.52,55,10.6%
Dalano Banton,22.0,TOR,Combo,256,27,17.8%,76,115.4,34,14.0%,49,0.79,5,19.1%
Harrison Barnes,29.4,SAC,Forward,660,75,19.8%,94,126.6,61,10.1%,33,0.51,31,12.6%
Scottie Barnes,20.3,TOR,Forward,663,80,20.4%,55,106.8,77,13.9%,72,0.68,30,13.1%
RJ Barrett,21.4,NYK,Wing,644,80,21.6%,21,98.6,60,10.5%,34,0.49,54,10.6%
Will Barton,30.8,DEN,Wing,570,84,22.2%,57,111.7,94,19.9%,91,0.90,61,10.2%
Keita Bates-Diop,25.8,SAS,Forward,176,6,10.2%,9,88.9,0,2.1%,2,0.21,2,19.8%
Nicolas Batum,32.9,LAC,Forward,380,9,11.1%,98,138.4,44,8.0%,77,0.72,48,11.2%
Kent Bazemore,32.3,LAL,Wing,330,5,10.3%,12,88.8,9,5.1%,37,0.49,71,9.6%
Darius Bazley,21.4,OKC,Forward,539,58,17.5%,8,87.9,36,7.7%,20,0.44,34,12.4%
Bradley Beal,28.3,WAS,Wing,610,100,32.8%,35,106.3,99,28.7%,90,0.88,17,14.8%
Malik Beasley,24.9,MIN,Wing,485,54,17.1%,20,96.5,46,8.9%,43,0.52,98,5.6%
DeAndre' Bembry,27.3,BKN,Wing,328,13,12.0%,68,115.5,35,7.7%,62,0.64,59,10.4%
Davis Bertans,29.0,WAS,Forward,164,45,15.4%,6,86.4,13,5.0%,8,0.32,95,6.8%
Patrick Beverley,33.3,MIN,Combo,404,17,16.6%,71,113.2,88,24.1%,95,1.45,41,12.0%
Saddiq Bey,22.6,DET,Wing,642,74,20.3%,13,89.2,78,13.0%,63,0.64,74,9.2%
Khem Birch,29.1,TOR,Big,342,12,11.7%,38,110.6,41,8.1%,69,0.69,74,10.4%
Goga Bitadze,22.3,IND,Big,102,60,17.6%,6,90.2,10,4.2%,5,0.24,81,9.4%
Nemanja Bjelica,33.5,GSW,Big,274,73,19.4%,49,115.4,79,14.2%,76,0.73,19,17.8%
Eric Bledsoe,31.9,LAC,Point,560,22,19.5%,32,101.0,5,18.1%,15,0.93,17,17.4%
Bogdan Bogdanovic,29.2,ATL,Wing,562,50,16.9%,65,113.7,63,11.3%,67,0.67,79,8.4%
Bojan Bogdanovic,32.5,UTA,Forward,590,84,20.8%,88,123.3,53,9.3%,22,0.45,42,11.7%
Devin Booker,25.0,PHX,Wing,653,99,32.1%,62,113.5,95,22.1%,73,0.69,45,11.4%
Chris Boucher,28.8,TOR,Big,254,69,18.6%,10,93.8,2,2.5%,2,0.14,72,10.7%
Avery Bradley,30.9,LAL,Wing,460,4,10.0%,26,101.0,11,5.4%,48,0.54,60,10.4%
Tony Bradley,23.8,CHI,Big,208,14,11.8%,31,109.8,13,4.3%,18,0.37,12,19.8%
Mikal Bridges,25.2,PHX,Wing,668,17,12.1%,98,129.6,23,6.7%,49,0.56,87,7.6%
Miles Bridges,23.6,CHA,Big,794,87,22.2%,39,111.1,73,13.2%,47,0.59,82,9.3%
Oshae Brissett,23.4,IND,Big,105,33,14.1%,9,93.5,30,6.9%,31,0.49,21,17.4%
Malcolm Brogdon,28.9,IND,Combo,594,90,27.4%,88,116.1,93,26.7%,68,0.97,46,11.3%
Armoni Brooks,23.4,HOU,Wing,104,51,16.9%,89,125.5,10,5.3%,1,0.31,100,2.4%
Dillon Brooks,25.8,MEM,Wing,169,96,29.9%,46,109.2,84,14.0%,30,0.47,82,8.3%
Bruce Brown,25.2,BKN,Forward,391,23,12.7%,52,106.2,31,7.3%,47,0.58,44,11.5%
Jaylen Brown,25.0,BOS,Wing,392,93,27.1%,70,115.6,71,12.0%,21,0.44,37,12.0%
Sterling Brown,26.7,DAL,Forward,184,25,12.7%,5,80.4,38,7.8%,56,0.61,14,15.0%
Jalen Brunson,25.2,DAL,Combo,490,76,24.7%,83,115.9,95,27.7%,83,1.12,68,9.9%
Reggie Bullock,30.6,DAL,Forward,389,16,12.2%,16,93.5,8,4.5%,13,0.37,89,7.7%
Alec Burks,30.3,NYK,Wing,439,62,18.5%,83,120.6,79,13.3%,77,0.72,88,7.6%
Jimmy Butler,32.1,MIA,Forward,578,92,28.4%,86,122.7,98,27.6%,97,0.97,73,8.9%
Kentavious Caldwell-Pope,28.7,WAS,Wing,594,40,14.8%,66,114.4,26,6.9%,26,0.46,43,11.7%
Facundo Campazzo,30.6,DEN,Point,284,5,15.3%,95,125.7,10,18.4%,73,1.20,34,16.0%
Clint Capela,27.5,ATL,Big,621,29,13.9%,58,118.7,19,5.4%,20,0.39,98,6.1%
Jevon Carter,26.1,BKN,Wing,240,29,13.5%,4,82.0,77,12.8%,95,0.95,90,7.1%
Wendell Carter,22.5,ORL,Big,589,65,18.2%,68,121.8,77,13.9%,80,0.77,66,11.8%
Alex Caruso,27.7,CHI,Combo,579,7,14.5%,85,116.0,51,18.4%,93,1.26,22,14.2%
Willie Cauley-Stein,28.2,DAL,Big,170,6,10.4%,11,94.4,32,7.3%,71,0.70,23,17.1%
Brandon Clarke,25.1,MEM,Big,243,31,14.0%,81,128.9,72,12.9%,90,0.92,99,6.1%
Jordan Clarkson,29.4,UTA,Combo,482,93,27.9%,34,100.3,32,14.0%,5,0.50,85,8.6%
Amir Coffey,24.4,LAC,Forward,147,14,12.0%,47,105.6,33,7.5%,59,0.63,88,7.7%
John Collins,24.1,ATL,Big,672,54,17.0%,81,128.9,55,9.9%,41,0.58,88,8.4%
Mike Conley,34.1,UTA,Point,505,32,22.3%,98,130.3,56,27.9%,78,1.25,63,12.2%
Pat Connaughton,28.8,MIL,Wing,586,27,13.3%,99,130.8,24,6.8%,39,0.51,44,11.5%
Robert Covington,30.9,POR,Forward,534,5,9.9%,75,118.3,19,6.0%,53,0.60,17,14.8%
Torrey Craig,30.9,IND,Forward,367,36,13.8%,84,121.5,50,8.4%,55,0.61,38,12.1%
Jae Crowder,31.3,PHX,Forward,550,33,13.4%,42,104.3,23,6.5%,28,0.49,72,9.0%
Cade Cunningham,20.1,DET,Wing,450,91,26.9%,5,82.5,98,26.0%,96,0.96,6,17.8%
Seth Curry,31.2,PHI,Wing,608,56,18.1%,96,129.2,62,11.2%,59,0.62,27,12.9%
Stephen Curry,33.6,GSW,Point,643,90,32.3%,100,131.8,73,31.9%,27,0.99,54,12.9%
Anthony Davis,28.6,LAL,Big,749,95,25.8%,46,114.7,83,15.0%,43,0.58,81,9.5%
Terence Davis,24.5,SAC,Wing,170,83,22.0%,0,73.8,33,7.4%,5,0.34,76,8.9%
DeMar DeRozan,32.2,CHI,Forward,730,94,30.8%,77,118.5,91,19.7%,63,0.64,78,8.6%
Dewayne Dedmon,32.2,MIA,Big,272,27,13.6%,80,128.6,16,4.5%,12,0.33,10,20.1%
Hamidou Diallo,23.3,DET,Wing,172,52,17.0%,77,118.2,30,7.2%,17,0.42,63,10.1%
Gorgui Dieng,31.8,ATL,Big,129,36,14.3%,3,82.4,78,14.1%,94,0.99,15,18.4%
Spencer Dinwiddie,28.6,WAS,Point,502,54,25.6%,54,107.9,68,30.1%,68,1.18,95,10.0%
Luka Doncic,22.7,DAL,Point,520,100,40.3%,41,105.1,100,43.9%,54,1.09,46,13.6%
Luguentz Dort,22.5,OKC,Wing,593,78,20.9%,60,113.0,51,9.5%,23,0.46,57,10.4%
Ayo Dosunmu,21.8,CHI,Wing,288,32,14.1%,55,111.1,21,6.6%,27,0.46,22,13.7%
PJ Dozier,25.0,DEN,Forward,331,48,16.1%,14,93.1,73,13.3%,86,0.82,52,11.0%
Andre Drummond,28.2,PHI,Big,420,66,18.3%,12,96.9,76,13.7%,79,0.75,9,20.2%
Chris Duarte,24.4,IND,Wing,583,76,20.4%,29,102.4,55,9.9%,33,0.48,38,12.0%
Kevin Durant,33.1,BKN,Forward,671,95,31.2%,95,130.6,95,26.8%,89,0.86,36,12.3%
Anthony Edwards,20.2,MIN,Wing,710,94,27.5%,39,106.9,90,16.1%,55,0.59,20,13.9%
Wayne Ellington,33.9,LAL,Wing,257,11,10.9%,88,125.0,7,4.9%,22,0.45,83,7.9%
Joel Embiid,27.6,PHI,Big,323,99,34.1%,44,114.1,93,20.6%,49,0.61,54,13.0%
Drew Eubanks,24.7,SAS,Big,274,63,17.8%,62,119.1,82,14.9%,83,0.84,7,20.7%
Derrick Favors,30.3,OKC,Big,266,25,13.5%,17,101.1,7,3.9%,7,0.29,97,6.1%
Dorian Finney-Smith,28.5,DAL,Forward,555,17,12.2%,45,105.4,17,5.7%,23,0.47,50,11.2%
Bryn Forbes,28.3,SAS,Wing,226,63,18.6%,45,109.0,29,7.2%,11,0.39,13,15.9%
Evan Fournier,29.0,NYK,Wing,573,66,18.7%,54,111.0,54,9.7%,41,0.52,52,10.7%
De'Aaron Fox,23.9,SAC,Point,720,83,30.4%,29,101.0,41,25.2%,2,0.83,66,12.0%
Daniel Gafford,23.1,WAS,Big,350,35,14.2%,89,135.8,33,7.4%,37,0.52,33,15.4%
Danilo Gallinari,33.2,ATL,Big,357,46,15.7%,25,105.5,37,7.8%,32,0.50,96,6.2%
Darius Garland,21.8,CLE,Point,618,71,28.5%,68,111.3,76,32.8%,66,1.15,27,16.5%
Rudy Gay,35.2,UTA,Forward,108,61,17.7%,100,155.0,63,11.3%,61,0.64,22,14.0%
Paul George,31.5,LAC,Forward,704,100,35.7%,61,108.6,97,27.2%,80,0.76,20,14.3%
Taj Gibson,36.4,NYK,Big,200,3,8.9%,53,116.7,20,5.6%,55,0.63,3,22.5%
Josh Giddey,19.1,OKC,Wing,557,89,24.4%,15,93.2,100,31.2%,100,1.28,9,17.3%
Shai Gilgeous-Alexander,23.3,OKC,Point,592,73,29.2%,39,104.6,29,23.0%,0,0.79,85,10.7%
Rudy Gobert,29.3,UTA,Big,621,39,15.1%,97,144.3,9,4.1%,6,0.27,14,18.8%
Aaron Gordon,26.1,DEN,Forward,596,59,17.5%,80,120.0,58,9.7%,38,0.55,33,12.4%
Eric Gordon,32.9,HOU,Wing,465,72,19.7%,78,118.8,80,13.4%,71,0.68,16,15.3%
Devonte' Graham,26.7,NOP,Point,580,46,23.1%,37,104.3,22,22.3%,22,0.97,76,11.7%
Jerami Grant,27.6,DET,Forward,611,88,25.6%,58,107.3,80,14.7%,48,0.58,69,9.4%
Danny Green,34.4,PHI,Forward,300,22,12.6%,97,133.3,25,7.0%,39,0.55,9,15.6%
Draymond Green,31.7,GSW,Big,567,64,17.9%,56,118.3,99,33.0%,99,1.84,0,24.4%
JaMychal Green,31.4,DEN,Big,274,69,18.9%,14,100.0,54,9.7%,36,0.51,11,19.8%
Jalen Green,19.7,HOU,Combo,550,66,22.7%,29,99.6,27,13.1%,17,0.58,15,16.2%
Javonte Green,28.3,CHI,Forward,404,11,11.6%,72,114.9,6,4.4%,14,0.38,16,14.9%
Jeff Green,35.2,DEN,Big,438,51,16.9%,40,111.9,25,6.5%,19,0.38,78,9.9%
Blake Griffin,32.6,BKN,Big,368,40,15.1%,2,80.9,67,12.4%,81,0.82,92,7.1%
Tyrese Haliburton,21.7,SAC,Wing,611,57,18.2%,41,107.5,96,22.4%,99,1.24,33,12.5%
R.J. Hampton,20.7,ORL,Combo,357,54,21.1%,41,102.2,78,22.3%,76,1.06,12,16.6%
Tim Hardaway Jr.,29.6,DAL,Wing,589,67,19.2%,27,101.2,66,11.4%,56,0.60,99,3.6%
James Harden,32.2,BKN,Point,700,93,32.7%,90,119.3,93,39.6%,76,1.21,7,19.3%
Maurice Harkless,28.5,SAC,Forward,327,0,9.6%,22,95.7,3,3.5%,11,0.37,66,9.9%
Montrezl Harrell,27.8,WAS,Big,535,76,19.8%,96,140.0,68,12.5%,58,0.63,79,9.7%
Gary Harris,27.1,ORL,Wing,354,39,14.6%,9,85.4,67,11.4%,85,0.78,32,12.6%
Joe Harris,30.2,BKN,Wing,422,20,12.6%,91,127.4,4,4.7%,10,0.37,23,13.3%
Tobias Harris,29.3,PHI,Forward,407,89,26.7%,69,114.0,92,20.9%,83,0.78,70,9.3%
Josh Hart,26.7,NOP,Forward,530,53,16.7%,78,118.9,88,17.8%,98,1.07,47,11.4%
Isaiah Hartenstein,23.5,LAC,Big,253,45,15.7%,93,138.3,84,15.5%,93,0.99,21,17.4%
Jaxson Hayes,21.4,NOP,Big,201,52,17.0%,36,110.5,4,2.9%,3,0.17,46,14.0%
Killian Hayes,20.3,DET,Point,362,12,16.0%,12,86.3,24,22.5%,85,1.41,32,16.3%
Gordon Hayward,31.6,CHA,Wing,739,77,20.7%,67,114.7,87,14.7%,76,0.71,39,12.0%
Tyler Herro,21.8,MIA,Combo,591,98,28.8%,63,111.6,54,18.8%,24,0.65,27,12.8%
Buddy Hield,28.9,SAC,Wing,599,87,23.1%,48,109.3,70,11.8%,40,0.51,72,9.5%
George Hill,35.5,MIL,Combo,530,2,12.8%,68,113.1,22,12.6%,71,0.98,29,12.8%
Aaron Holiday,25.1,WAS,Combo,332,37,18.5%,24,96.3,41,16.3%,56,0.88,10,17.5%
Jrue Holiday,31.4,MIL,Point,455,63,27.3%,27,100.5,51,27.1%,29,0.99,56,12.8%
Justin Holiday,32.6,IND,Wing,607,35,14.3%,49,109.3,40,8.2%,51,0.58,55,10.6%
Richaun Holmes,28.0,SAC,Big,486,44,15.4%,99,146.3,28,6.8%,27,0.44,30,16.0%
Rodney Hood,29.0,MIL,Forward,187,3,9.8%,20,95.3,22,6.4%,64,0.65,100,2.4%
Al Horford,35.4,BOS,Big,515,72,19.3%,42,112.5,92,19.0%,92,0.98,80,9.5%
Talen Horton-Tucker,20.9,LAL,Forward,264,77,19.9%,13,92.5,72,13.0%,66,0.65,61,10.0%
Danuel House,28.4,HOU,Forward,136,56,17.0%,17,93.8,59,10.0%,50,0.59,3,17.7%
Dwight Howard,35.9,LAL,Big,244,19,12.8%,86,133.9,6,3.9%,10,0.30,1,24.1%
Kevin Huerter,23.2,ATL,Wing,503,48,16.4%,51,110.1,76,12.8%,84,0.78,48,11.1%
DeAndre Hunter,23.9,ATL,Forward,306,52,16.5%,36,103.5,2,3.1%,0,0.19,39,12.1%
Nah'Shon Hyland,21.1,DEN,Combo,198,68,22.7%,22,94.5,37,15.4%,29,0.68,93,7.9%
Andre Iguodala,37.8,GSW,Big,246,16,12.1%,14,100.0,95,23.2%,100,1.92,65,11.9%
Joe Ingles,34.1,UTA,Forward,484,34,13.6%,89,125.2,86,17.8%,100,1.31,27,13.3%
Brandon Ingram,24.2,NOP,Big,512,97,30.7%,18,101.6,94,22.6%,77,0.74,41,14.7%
Frank Jackson,23.5,DET,Combo,404,29,18.0%,51,106.1,2,6.7%,2,0.37,73,9.1%
Jaren Jackson,22.1,MEM,Big,527,88,22.5%,24,105.3,18,5.3%,4,0.24,75,10.3%
Josh Jackson,24.7,DET,Forward,328,81,20.4%,34,101.6,81,15.0%,78,0.74,19,14.5%
Reggie Jackson,31.5,LAC,Combo,657,83,25.8%,37,100.6,49,17.8%,34,0.69,56,10.3%
LeBron James,36.8,LAL,Forward,406,97,32.0%,73,117.8,100,29.6%,94,0.93,25,13.7%
Ty Jerome,24.3,OKC,Combo,192,51,21.1%,66,112.0,24,12.9%,22,0.61,100,4.3%
Isaiah Joe,22.3,PHI,Combo,101,20,16.7%,44,102.9,10,8.8%,10,0.53,49,10.8%
Cameron Johnson,25.7,PHX,Forward,414,42,14.7%,59,107.6,34,7.6%,34,0.52,83,8.4%
James Johnson,34.7,BKN,Big,175,26,13.6%,5,89.4,66,12.0%,87,0.89,91,7.3%
Keldon Johnson,21.9,SAS,Forward,559,73,19.6%,50,106.0,55,9.4%,27,0.48,67,9.6%
Nikola Jokic,26.7,DEN,Big,453,98,31.5%,88,135.7,100,34.1%,95,1.08,47,14.0%
Herbert Jones,23.1,NOP,Wing,475,12,11.8%,23,100.0,50,9.5%,88,0.80,7,17.5%
Tre Jones,21.8,SAS,Combo,112,39,19.4%,95,127.3,71,20.6%,78,1.06,39,12.2%
Tyus Jones,25.5,MEM,Combo,311,24,17.6%,90,116.5,98,30.3%,100,1.72,88,8.5%
Derrick Jones Jr.,24.7,CHI,Big,282,15,11.9%,91,137.8,11,4.2%,15,0.36,84,9.0%
DeAndre Jordan,33.3,LAL,Big,263,7,10.6%,95,139.4,6,3.8%,17,0.36,6,20.9%
